CDate,Vteam,Hteam
Wed Jan 17 2018,Denver Nuggets,Los Angeles Clippers
Wed Jan 17 2018,New York Knicks,Memphis Grizzlies
Wed Jan 17 2018,Miami Heat,Milwaukee Bucks
Wed Jan 17 2018,Los Angeles Lakers,Oklahoma City Thunder
Wed Jan 17 2018,Utah Jazz,Sacramento Kings
Wed Jan 17 2018,Detroit Pistons,Toronto Raptors
Thu Jan 18 2018,Philadelphia 76ers,Boston Celtics
Thu Jan 18 2018,Orlando Magic,Cleveland Cavaliers
Thu Jan 18 2018,Minnesota Timberwolves,Houston Rockets
Thu Jan 18 2018,Indiana Pacers,Portland Trail Blazers
Fri Jan 19 2018,Miami Heat,Brooklyn Nets
Fri Jan 19 2018,Phoenix Suns,Denver Nuggets
Fri Jan 19 2018,Washington Wizards,Detroit Pistons
Fri Jan 19 2018,Indiana Pacers,Los Angeles Lakers
Fri Jan 19 2018,Sacramento Kings,Memphis Grizzlies
Fri Jan 19 2018,San Antonio Spurs,Toronto Raptors
Fri Jan 19 2018,New York Knicks,Utah Jazz
Sat Jan 20 2018,Chicago Bulls,Atlanta Hawks
Sat Jan 20 2018,Miami Heat,Charlotte Hornets
Sat Jan 20 2018,Oklahoma City Thunder,Cleveland Cavaliers
Sat Jan 20 2018,Golden State Warriors,Houston Rockets
Sat Jan 20 2018,Toronto Raptors,Minnesota Timberwolves
Sat Jan 20 2018,Memphis Grizzlies,New Orleans Pelicans
Sat Jan 20 2018,Milwaukee Bucks,Philadelphia 76ers
Sat Jan 20 2018,Dallas Mavericks,Portland Trail Blazers
Sat Jan 20 2018,Los Angeles Clippers,Utah Jazz
Sun Jan 21 2018,Orlando Magic,Boston Celtics
Sun Jan 21 2018,Brooklyn Nets,Detroit Pistons
Sun Jan 21 2018,New York Knicks,Los Angeles Lakers
Sun Jan 21 2018,Indiana Pacers,San Antonio Spurs
Mon Jan 22 2018,Utah Jazz,Atlanta Hawks
Mon Jan 22 2018,Sacramento Kings,Charlotte Hornets
Mon Jan 22 2018,Washington Wizards,Dallas Mavericks
Mon Jan 22 2018,Portland Trail Blazers,Denver Nuggets
Mon Jan 22 2018,Miami Heat,Houston Rockets
Mon Jan 22 2018,Minnesota Timberwolves,Los Angeles Clippers
Mon Jan 22 2018,Philadelphia 76ers,Memphis Grizzlies
Mon Jan 22 2018,Phoenix Suns,Milwaukee Bucks
Mon Jan 22 2018,Chicago Bulls,New Orleans Pelicans
Tue Jan 23 2018,New York Knicks,Golden State Warriors
Tue Jan 23 2018,Boston Celtics,Los Angeles Lakers
Tue Jan 23 2018,Brooklyn Nets,Oklahoma City Thunder
Tue Jan 23 2018,Sacramento Kings,Orlando Magic
Tue Jan 23 2018,Cleveland Cavaliers,San Antonio Spurs
Wed Jan 24 2018,Toronto Raptors,Atlanta Hawks
Wed Jan 24 2018,New Orleans Pelicans,Charlotte Hornets
Wed Jan 24 2018,Houston Rockets,Dallas Mavericks
Wed Jan 24 2018,Utah Jazz,Detroit Pistons
Wed Jan 24 2018,Phoenix Suns,Indiana Pacers
Wed Jan 24 2018,Boston Celtics,Los Angeles Clippers
Wed Jan 24 2018,San Antonio Spurs,Memphis Grizzlies
Wed Jan 24 2018,Chicago Bulls,Philadelphia 76ers
Wed Jan 24 2018,Minnesota Timberwolves,Portland Trail Blazers
Thu Jan 25 2018,New York Knicks,Denver Nuggets
Thu Jan 25 2018,Minnesota Timberwolves,Golden State Warriors
Thu Jan 25 2018,Sacramento Kings,Miami Heat
Thu Jan 25 2018,Washington Wizards,Oklahoma City Thunder
Fri Jan 26 2018,Los Angeles Lakers,Chicago Bulls
Fri Jan 26 2018,Atlanta Hawks,Charlotte Hornets
Fri Jan 26 2018,Indiana Pacers,Cleveland Cavaliers
Fri Jan 26 2018,Portland Trail Blazers,Dallas Mavericks
Fri Jan 26 2018,Los Angeles Clippers,Memphis Grizzlies
Fri Jan 26 2018,Brooklyn Nets,Milwaukee Bucks
Fri Jan 26 2018,Houston Rockets,New Orleans Pelicans
Fri Jan 26 2018,New York Knicks,Phoenix Suns
Fri Jan 26 2018,Philadelphia 76ers,San Antonio Spurs
Fri Jan 26 2018,Utah Jazz,Toronto Raptors
Sat Jan 27 2018,Washington Wizards,Atlanta Hawks
Sat Jan 27 2018,Dallas Mavericks,Denver Nuggets
Sat Jan 27 2018,Oklahoma City Thunder,Detroit Pistons
Sat Jan 27 2018,Boston Celtics,Golden State Warriors
Sat Jan 27 2018,Orlando Magic,Indiana Pacers
Sat Jan 27 2018,Charlotte Hornets,Miami Heat
Sat Jan 27 2018,Brooklyn Nets,Minnesota Timberwolves
Sun Jan 28 2018,Milwaukee Bucks,Chicago Bulls
Sun Jan 28 2018,Detroit Pistons,Cleveland Cavaliers
Sun Jan 28 2018,Phoenix Suns,Houston Rockets
Sun Jan 28 2018,Los Angeles Clippers,New Orleans Pelicans
Sun Jan 28 2018,Philadelphia 76ers,Oklahoma City Thunder
Sun Jan 28 2018,Sacramento Kings,San Antonio Spurs
Sun Jan 28 2018,Los Angeles Lakers,Toronto Raptors
Mon Jan 29 2018,Minnesota Timberwolves,Atlanta Hawks
Mon Jan 29 2018,Miami Heat,Dallas Mavericks
Mon Jan 29 2018,Boston Celtics,Denver Nuggets
Mon Jan 29 2018,Charlotte Hornets,Indiana Pacers
Mon Jan 29 2018,Phoenix Suns,Memphis Grizzlies
Mon Jan 29 2018,Philadelphia 76ers,Milwaukee Bucks
Tue Jan 30 2018,Cleveland Cavaliers,Detroit Pistons
Tue Jan 30 2018,Orlando Magic,Houston Rockets
Tue Jan 30 2018,Portland Trail Blazers,Los Angeles Clippers
Tue Jan 30 2018,Sacramento Kings,New Orleans Pelicans
Tue Jan 30 2018,Brooklyn Nets,New York Knicks
Tue Jan 30 2018,Denver Nuggets,San Antonio Spurs
Tue Jan 30 2018,Minnesota Timberwolves,Toronto Raptors
Tue Jan 30 2018,Golden State Warriors,Utah Jazz
Tue Jan 30 2018,Oklahoma City Thunder,Washington Wizards
Wed Jan 31 2018,Charlotte Hornets,Atlanta Hawks
Wed Jan 31 2018,New York Knicks,Boston Celtics
Wed Jan 31 2018,Philadelphia 76ers,Brooklyn Nets
Wed Jan 31 2018,Miami Heat,Cleveland Cavaliers
Wed Jan 31 2018,Memphis Grizzlies,Indiana Pacers
Wed Jan 31 2018,Los Angeles Lakers,Orlando Magic
Wed Jan 31 2018,Dallas Mavericks,Phoenix Suns
Wed Jan 31 2018,Chicago Bulls,Portland Trail Blazers
