date,win,lose,probability
Sun Dec 31 2017,Indiana Pacers,Minnesota Timberwolves,0.71885295706118812
Sun Dec 31 2017,Los Angeles Clippers,Charlotte Hornets,0.60931261518829372
Sun Dec 31 2017,Oklahoma City Thunder,Dallas Mavericks,0.81301790894604387
Sun Dec 31 2017,Phoenix Suns,Philadelphia 76ers,0.7228989807997247
Sun Dec 31 2017,Sacramento Kings,Memphis Grizzlies,0.50439980439417365
Sun Dec 31 2017,Washington Wizards,Chicago Bulls,0.60811973501599048
Mon Jan 1 2018,Orlando Magic,Brooklyn Nets,0.71434895268316945
Mon Jan 1 2018,Portland Trail Blazers,Chicago Bulls,0.56479851501465794
Mon Jan 1 2018,Minnesota Timberwolves,Los Angeles Lakers,0.74216826484997367
Mon Jan 1 2018,Toronto Raptors,Milwaukee Bucks,0.85831109755402069
Tue Jan 2 2018,Cleveland Cavaliers,Portland Trail Blazers,0.74558931404201456
Tue Jan 2 2018,Los Angeles Clippers,Memphis Grizzlies,0.78950847819463532
Tue Jan 2 2018,San Antonio Spurs,New York Knicks,0.8822012132487016
Tue Jan 2 2018,Atlanta Hawks,Phoenix Suns,0.82402682839141406
Tue Jan 2 2018,Charlotte Hornets,Sacramento Kings,0.70264848954809733
Wed Jan 3 2018,Cleveland Cavaliers,Boston Celtics,0.64056657864633615
Wed Jan 3 2018,Minnesota Timberwolves,Brooklyn Nets,0.6953968530008986
Wed Jan 3 2018,Toronto Raptors,Chicago Bulls,0.62964492570589115
Wed Jan 3 2018,Golden State Warriors,Dallas Mavericks,0.82886896326324555
Wed Jan 3 2018,Denver Nuggets,Phoenix Suns,0.65055326614834408
Wed Jan 3 2018,Oklahoma City Thunder,Los Angeles Lakers,0.92587591664071955
Wed Jan 3 2018,Miami Heat,Detroit Pistons,0.63882116381031384
Wed Jan 3 2018,Indiana Pacers,Milwaukee Bucks,0.72070354257079927
Wed Jan 3 2018,Houston Rockets,Orlando Magic,0.57216583346087435
Wed Jan 3 2018,San Antonio Spurs,Philadelphia 76ers,0.97171566329716963
Wed Jan 3 2018,Utah Jazz,New Orleans Pelicans,0.74856480397538339
Wed Jan 3 2018,Washington Wizards,New York Knicks,0.72715926158778421
Thu Jan 4 2018,Golden State Warriors,Houston Rockets,0.83386146209591616
Thu Jan 4 2018,Oklahoma City Thunder,Los Angeles Clippers,0.57422309626509105
Fri Jan 5 2018,Boston Celtics,Minnesota Timberwolves,0.76481771034854062
Fri Jan 5 2018,Dallas Mavericks,Chicago Bulls,0.63809524496607484
Fri Jan 5 2018,Utah Jazz,Denver Nuggets,0.63185438932095861
Fri Jan 5 2018,Charlotte Hornets,Los Angeles Lakers,0.85587871862263531
Fri Jan 5 2018,Washington Wizards,Memphis Grizzlies,0.54309617588051617
Fri Jan 5 2018,Miami Heat,New York Knicks,0.82320791696143025
Fri Jan 5 2018,Toronto Raptors,Milwaukee Bucks,0.80504995585512784
Fri Jan 5 2018,Detroit Pistons,Philadelphia 76ers,0.88880818282620389
Fri Jan 5 2018,Portland Trail Blazers,Atlanta Hawks,0.54812728675783706
Fri Jan 5 2018,San Antonio Spurs,Phoenix Suns,0.95187578806368656
Sat Jan 6 2018,Boston Celtics,Brooklyn Nets,0.85919699465405941
Sat Jan 6 2018,Detroit Pistons,Houston Rockets,0.54007964634189964
Sat Jan 6 2018,Indiana Pacers,Chicago Bulls,0.66836195361423334
Sat Jan 6 2018,Golden State Warriors,Los Angeles Clippers,0.7180052106526843
Sat Jan 6 2018,Minnesota Timberwolves,New Orleans Pelicans,0.53552155117067035
Sat Jan 6 2018,Cleveland Cavaliers,Orlando Magic,0.81476256953795501
Sat Jan 6 2018,Sacramento Kings,Denver Nuggets,0.52133000078039626
Sat Jan 6 2018,Washington Wizards,Milwaukee Bucks,0.69224449137229482
Sun Jan 7 2018,Dallas Mavericks,New York Knicks,0.75174641556625921
Sun Jan 7 2018,Atlanta Hawks,Los Angeles Lakers,0.8615001489136378
Sun Jan 7 2018,Miami Heat,Utah Jazz,0.68003129334290968
Sun Jan 7 2018,Oklahoma City Thunder,Phoenix Suns,0.90387705454464951
Sun Jan 7 2018,San Antonio Spurs,Portland Trail Blazers,0.70684401913814709
Mon Jan 8 2018,Toronto Raptors,Brooklyn Nets,0.89393712807247805
Mon Jan 8 2018,Chicago Bulls,Houston Rockets,0.55203616326303961
